name,smiles,p_crbn_glue,error
cand_30,Cc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,
cand_31,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.9,
cand_32,CCc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.955,
cand_33,O=C1CCC(N2C(=O)c3ccc(Br)c(Cl)c3C2=O)C(=O)N1,0.99,
cand_34,CNc1cc(C)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,
cand_35,CNc1ccc(C(N)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.87,
cand_36,NC(=O)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,
cand_37,NS(=O)(=O)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.955,
cand_38,O=C1CCC(N2C(=O)c3c(C(=O)O)ccc([N+](=O)[O-])c3C2=O)C(=O)N1,0.85,
cand_39,Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.99,
cand_40,O=C1CCC(N2Cc3cccc(O)c3C2=O)C(=O)N1,0.975,
cand_41,O=C1CCC(N2Cc3cc(Br)ccc3C2=O)C(=O)N1,0.97,
cand_42,O=C1CCC(N2Cc3c(-c4ccc(N5CCNCC5)cc4)ccc(F)c3C2=O)C(=O)N1,0.99,
cand_43,NC(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,
cand_44,O=C1CCC(N2Cc3cc(C(=O)O)ccc3C2=O)C(=O)N1,0.96,
cand_45,O=C1CCC(N2C(=O)c3cccc(F)c3C2=O)C(=O)N1,0.935,
cand_46,N#Cc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.96,
cand_47,Cc1ccc(C#N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.88,
cand_48,CN(C)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.995,
cand_49,O=C1CCC(N2C(=O)c3cccc(O)c3C2=O)C(=O)N1,1.0,
cand_50,CCc1cc(C(=O)O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,
cand_51,O=C1CCC(N2C(=O)c3cc(Cl)c(Br)cc3C2=O)C(=O)N1,0.975,
cand_52,Cc1cc2c(cc1[N+](=O)[O-])CN(C1CCC(=O)NC1=O)C2=O,0.905,
cand_53,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,
cand_54,O=C1CCC(N2Cc3ccc(Br)cc3C2=O)C(=O)N1,0.99,
cand_55,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)cc(Br)c3C2=O)C(=O)N1,0.955,
cand_56,CN(C)c1ccc2c(c1F)C(=O)N(C1CCC(=O)NC1=O)C2,0.94,
cand_57,COc1ccc(I)c2c1CN(C1CCC(=O)NC1=O)C2=O,0.895,
cand_58,Cc1cc(C#N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,
cand_59,CN(C)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.99,
cand_60,O=C1CCC(N2Cc3c(Br)cccc3C2=O)C(=O)N1,0.995,
cand_61,O=C1CCC(N2Cc3c(F)cccc3C2=O)C(=O)N1,0.985,
cand_62,O=C1CCC(N2Cc3ccc(O)cc3C2=O)C(=O)N1,0.985,
cand_63,O=C1CCC(N2Cc3ccc(I)c(F)c3C2=O)C(=O)N1,0.945,
cand_64,O=C1CCC(N2C(=O)c3cc(Cl)c(C(F)(F)F)cc3C2=O)C(=O)N1,0.85,
cand_65,O=C1CCC(N2C(=O)c3ccc(Cl)cc3C2=O)C(=O)N1,1.0,
cand_66,O=C1CCC(N2Cc3c(cccc3C(F)(F)F)C2=O)C(=O)N1,0.99,
cand_67,O=C1CCC(N2C(=O)c3cc(I)c(C(F)(F)F)cc3C2=O)C(=O)N1,0.915,
cand_68,O=C1CCC(N2Cc3c(ccc(O)c3O)C2=O)C(=O)N1,0.99,
cand_69,O=C1CCC(N2Cc3cc(O)cc(I)c3C2=O)C(=O)N1,0.92,
cand_70,CCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.935,
cand_71,N#Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,
cand_72,O=C1CCC(N2Cc3cccc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,0.98,
cand_73,COc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.97,
cand_74,NC(=O)c1cc(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,
cand_75,CN(C)c1cc2c(cc1I)CN(C1CCC(=O)NC1=O)C2=O,0.955,
cand_76,NC(=O)c1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.94,
cand_77,NC(=O)c1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,
cand_78,N#Cc1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.945,
cand_79,N#Cc1cc2c(c(C(=O)O)c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.925,
cand_80,O=C1CCC(N2C(=O)c3cc(F)c(-c4ccc(N5CCNCC5)cc4)cc3C2=O)C(=O)N1,0.95,
cand_81,NC(=O)c1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.925,
cand_82,CCc1cc(C#N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.91,
cand_83,O=C1CCC(N2C(=O)c3ccc(F)cc3C2=O)C(=O)N1,0.985,
cand_84,Nc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.995,
cand_85,CCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,
cand_86,CCc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,
cand_87,NS(=O)(=O)c1cc(Br)c2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.92,
cand_88,O=C1CCC(N2Cc3ccc([N+](=O)[O-])cc3C2=O)C(=O)N1,0.93,
cand_89,CCc1ccc(N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.805,
cand_90,Cc1cc2c(cc1Br)C(=O)N(C1CCC(=O)NC1=O)C2,0.965,
cand_91,O=C1CCC(N2Cc3ccc(-c4ccc(N5CCNCC5)cc4)cc3C2=O)C(=O)N1,0.925,
cand_92,Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.97,
cand_93,O=C1CCC(N2Cc3c(C(=O)O)cccc3C2=O)C(=O)N1,0.98,
cand_94,N#Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.965,
cand_95,CNc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.895,
cand_96,CNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,
cand_97,O=C1CCC(N2C(=O)c3ccc(-c4ccc(N5CCNCC5)cc4)cc3C2=O)C(=O)N1,0.9,
cand_98,O=C1CCC(N2C(=O)c3ccc([N+](=O)[O-])cc3C2=O)C(=O)N1,0.93,
cand_99,COc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.955,
cand_100,O=C1CCC(N2C(=O)c3ccc(Br)cc3C2=O)C(=O)N1,0.98,
cand_101,CNc1c(N)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,
cand_102,COc1cc2c(c(C(F)(F)F)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,
cand_103,N#Cc1ccc(I)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,
cand_104,O=C1CCC(N2C(=O)c3ccc(I)cc3C2=O)C(=O)N1,0.995,
cand_105,O=C1CCC(N2Cc3c(Cl)cc(C(F)(F)F)cc3C2=O)C(=O)N1,0.94,
cand_106,CN(C)c1cc2c(c([N+](=O)[O-])c1)CN(C1CCC(=O)NC1=O)C2=O,0.875,
cand_107,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.965,
cand_108,O=C1CCC(N2Cc3cccc(C(=O)O)c3C2=O)C(=O)N1,0.97,
cand_109,O=C1CCC(N2Cc3cccc([N+](=O)[O-])c3C2=O)C(=O)N1,0.91,
cand_110,O=C1CCC(N2C(=O)c3ccc(C(F)(F)F)cc3C2=O)C(=O)N1,0.98,
cand_111,COc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.99,
cand_112,CCc1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.895,
cand_113,CNc1cc2c(cc1NC)C(=O)N(C1CCC(=O)NC1=O)C2,0.94,
cand_114,N#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.985,
cand_115,NC(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.93,
cand_116,O=C1CCC(N2Cc3cc(I)ccc3C2=O)C(=O)N1,0.97,
cand_117,CNc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.99,
cand_118,Cc1cc(C#N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.895,
cand_119,O=C1CCC(N2C(=O)c3cc(Cl)cc(Cl)c3C2=O)C(=O)N1,0.98,
cand_120,CNc1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2,0.95,
cand_121,CNc1cc2c(cc1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.855,
cand_122,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.98,
cand_123,CCc1cc(I)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,
cand_124,NS(=O)(=O)c1cc2c(cc1C(=O)O)CN(C1CCC(=O)NC1=O)C2=O,0.905,
cand_125,COc1ccc(C)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.905,
cand_126,CCc1cc(Cl)c2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.91,
cand_127,NS(=O)(=O)c1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2,0.925,
cand_128,COc1cc2c(cc1N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,
cand_129,NS(=O)(=O)c1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2,0.955,
cand_130,CN(C)c1cc(-c2ccc(N3CCNCC3)cc2)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.93,
cand_131,O=C1CCC(N2Cc3c(Cl)cccc3C2=O)C(=O)N1,0.975,
cand_132,COc1ccc2c(c1F)C(=O)N(C1CCC(=O)NC1=O)C2,0.95,
cand_133,O=C1CCC(N2Cc3cccc(C(F)(F)F)c3C2=O)C(=O)N1,0.96,
cand_134,O=C1CCC(N2Cc3ccc(I)cc3C2=O)C(=O)N1,0.985,
cand_135,NS(=O)(=O)c1ccc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2,0.935,
cand_136,NS(=O)(=O)c1c(Cl)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.945,
cand_137,CCc1ccc(F)c2c1CN(C1CCC(=O)NC1=O)C2=O,0.815,
cand_138,COc1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,
cand_139,N#Cc1cc(C#N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.9,
cand_140,Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.99,
cand_141,NC(=O)c1ccc(Cl)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,
cand_142,O=C1CCC(N2Cc3ccc(C(=O)O)c(C(=O)O)c3C2=O)C(=O)N1,0.95,
cand_143,O=C1CCC(N2Cc3cccc(I)c3C2=O)C(=O)N1,0.945,
cand_144,O=C1CCC(N2Cc3ccc([N+](=O)[O-])c(Br)c3C2=O)C(=O)N1,0.88,
cand_145,CCc1ccc(C#N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.835,
cand_146,O=C1CCC(N2Cc3ccc(F)cc3C2=O)C(=O)N1,0.99,
cand_147,N#Cc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,
cand_148,O=C1CCC(N2C(=O)c3ccc(O)c(O)c3C2=O)C(=O)N1,1.0,
cand_149,COc1c(S(N)(=O)=O)ccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.895,
cand_150,NS(=O)(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.98,
cand_151,NS(=O)(=O)c1ccc2c(c1C(F)(F)F)CN(C1CCC(=O)NC1=O)C2=O,0.97,
cand_152,COc1c(S(N)(=O)=O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.865,
cand_153,CNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.965,
cand_154,O=C1CCC(N2C(=O)c3cccc(C(F)(F)F)c3C2=O)C(=O)N1,0.965,
cand_155,COc1cc(C(=O)O)cc2c1CN(C1CCC(=O)NC1=O)C2=O,0.92,
cand_156,CNc1cc(C#N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,
cand_157,COc1cc(C)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,
cand_158,N#Cc1cc(Cl)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,
cand_159,Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.98,
cand_160,CNc1cc(OC)cc2c1CN(C1CCC(=O)NC1=O)C2=O,0.935,
cand_161,NS(=O)(=O)c1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.935,
cand_162,O=C1CCC(N2Cc3cccc(F)c3C2=O)C(=O)N1,0.95,
cand_163,COc1ccc2c(c1C(F)(F)F)CN(C1CCC(=O)NC1=O)C2=O,0.94,
cand_164,CCc1cc(NC)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.91,
cand_165,CCc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,
cand_166,NC(=O)c1ccc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2,0.935,
cand_167,CCc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.97,
cand_168,CNc1cc(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.935,
cand_169,CCc1ccc([N+](=O)[O-])c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.79,
cand_170,Cc1c(-c2ccc(N3CCNCC3)cc2)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,
cand_171,Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,
cand_172,COc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.98,
cand_173,NS(=O)(=O)c1c(C(F)(F)F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,
cand_174,O=C1CCC(N2Cc3c([N+](=O)[O-])ccc(Br)c3C2=O)C(=O)N1,0.835,
cand_175,COc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.99,
cand_176,NS(=O)(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.96,
cand_177,O=C1CCC(N2Cc3c(cccc3-c3ccc(N4CCNCC4)cc3)C2=O)C(=O)N1,1.0,
cand_178,NC(=O)c1c([N+](=O)[O-])ccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.92,
cand_179,NC(=O)c1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,
cand_180,N#Cc1ccc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2,0.955,
cand_181,CN(C)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.99,
cand_182,O=C1CCC(N2Cc3cc(-c4ccc(N5CCNCC5)cc4)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,0.93,
cand_183,COc1cc(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,
cand_184,Cc1ccc(N(C)C)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.9,
cand_185,NC(=O)c1ccc2c(c1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,
cand_186,COc1cc(C)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.92,
cand_187,N#Cc1c(Cl)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.935,
cand_188,CN(C)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,1.0,
cand_189,O=C1CCC(N2Cc3cccc(Cl)c3C2=O)C(=O)N1,0.975,
cand_190,O=C1CCC(N2Cc3cccc(Br)c3C2=O)C(=O)N1,0.955,
cand_191,NC(=O)c1ccc2c(c1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2,0.93,
cand_192,O=C1CCC(N2Cc3ccc(C(=O)O)c(Br)c3C2=O)C(=O)N1,0.935,
cand_193,O=C1CCC(N2Cc3c(O)cc([N+](=O)[O-])cc3C2=O)C(=O)N1,0.885,
cand_194,Cc1cc2c(c(N(C)C)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,
cand_195,O=C1CCC(N2C(=O)c3cc(O)c(Br)cc3C2=O)C(=O)N1,0.9,
cand_196,O=C1CCC(N2Cc3c(O)cc(Cl)cc3C2=O)C(=O)N1,0.94,
cand_197,CN(C)c1cc2c(c(N(C)C)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,
cand_198,O=C1CCC(N2Cc3cc(C(F)(F)F)ccc3C2=O)C(=O)N1,0.985,
cand_199,N#Cc1ccc(Br)c2c1CN(C1CCC(=O)NC1=O)C2=O,0.915,
cand_200,CN(C)c1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.935,
cand_201,N#Cc1cc(C(F)(F)F)cc2c1CN(C1CCC(=O)NC1=O)C2=O,0.93,
cand_202,Nc1ccc2c(c1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,
cand_203,N#Cc1cc(C(=O)O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.93,
cand_204,O=C1CCC(N2C(=O)c3ccc(O)c(Br)c3C2=O)C(=O)N1,0.985,
cand_205,O=C1CCC(N2Cc3c(cccc3[N+](=O)[O-])C2=O)C(=O)N1,0.93,
cand_206,Nc1cc(Cl)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,
cand_207,COc1ccc(F)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.905,
cand_208,NS(=O)(=O)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,
cand_209,N#Cc1cc2c(cc1N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,
cand_210,CCc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.99,
cand_211,O=C1CCC(N2Cc3c(ccc(C(F)(F)F)c3Br)C2=O)C(=O)N1,0.965,
cand_212,Nc1cc2c(c([N+](=O)[O-])c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.85,
cand_213,Nc1ccc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2,0.945,
cand_214,Cc1ccc(C#N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.86,
cand_215,CNc1c(OC)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.945,
cand_216,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)cc(Cl)c3C2=O)C(=O)N1,0.955,
cand_217,NC(=O)c1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.885,
cand_218,N#Cc1cc2c(cc1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2,0.91,
cand_219,O=C1CCC(N2Cc3cc(Br)cc(Cl)c3C2=O)C(=O)N1,0.95,
cand_220,O=C1CCC(N2Cc3cc(F)ccc3C2=O)C(=O)N1,0.995,
cand_221,Nc1ccc(Br)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,
cand_222,O=C1CCC(N2C(=O)c3cc(Cl)c(C(=O)O)cc3C2=O)C(=O)N1,0.96,
cand_223,NS(=O)(=O)c1cc2c(c(C(F)(F)F)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,
cand_224,O=C1CCC(N2C(=O)c3cc(C(=O)O)c(C(F)(F)F)cc3C2=O)C(=O)N1,0.88,
cand_225,O=C1CCC(N2Cc3c(F)cc(I)cc3C2=O)C(=O)N1,0.91,
cand_226,CNc1ccc2c(c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,
cand_227,O=C1CCC(N2C(=O)c3c([N+](=O)[O-])ccc(C(F)(F)F)c3C2=O)C(=O)N1,0.82,
cand_228,O=C1CCC(N2C(=O)c3cc(O)c(O)cc3C2=O)C(=O)N1,0.99,
cand_229,Cc1ccc2c(c1N)CN(C1CCC(=O)NC1=O)C2=O,0.945,
cand_230,CN(C)c1ccc2c(c1S(N)(=O)=O)CN(C1CCC(=O)NC1=O)C2=O,0.955,
cand_231,CN(C)c1ccc(N)c2c1CN(C1CCC(=O)NC1=O)C2=O,0.92,
cand_232,Nc1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.89,
cand_233,O=C1CCC(N2C(=O)c3ccc(Cl)c(F)c3C2=O)C(=O)N1,0.965,
cand_234,N#Cc1ccc2c(c1-c1ccc(N3CCNCC3)cc1)CN(C1CCC(=O)NC1=O)C2=O,0.975,
cand_235,CNc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.965,
cand_236,O=C1CCC(N2Cc3c(I)cccc3C2=O)C(=O)N1,0.97,
cand_237,N#Cc1cc(-c2ccc(N3CCNCC3)cc2)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,
cand_238,O=C1CCC(N2Cc3c(I)ccc(C(=O)O)c3C2=O)C(=O)N1,0.92,
cand_239,O=C1CCC(N2C(=O)c3ccc(Cl)c(Cl)c3C2=O)C(=O)N1,0.965,
cand_240,CNc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2,0.935,
cand_241,CNc1c(F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.92,
cand_242,CNc1cc2c(cc1Cl)CN(C1CCC(=O)NC1=O)C2=O,0.95,
cand_243,CCc1ccc(Cl)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.855,
cand_244,O=C1CCC(N2C(=O)c3cccc(Cl)c3C2=O)C(=O)N1,0.99,
cand_245,CNc1cc2c(cc1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2=O,0.88,
cand_246,NS(=O)(=O)c1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.955,
cand_247,CNc1cc(C(F)(F)F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,
cand_248,O=C1CCC(N2Cc3ccc(O)c(F)c3C2=O)C(=O)N1,0.955,
cand_249,O=C1CCC(N2Cc3cc(O)ccc3C2=O)C(=O)N1,0.975,
cand_250,CNc1ccc(N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.895,
cand_251,NS(=O)(=O)c1c(I)ccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.95,
cand_252,CN(C)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.97,
cand_253,CN(C)c1c(Br)ccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.98,
cand_254,O=C1CCC(N2Cc3c(Cl)cc(I)cc3C2=O)C(=O)N1,0.925,
cand_255,CN(C)c1c([N+](=O)[O-])ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,
cand_256,Nc1ccc(S(N)(=O)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,
cand_257,O=C1CCC(N2Cc3ccc(F)c(C(=O)O)c3C2=O)C(=O)N1,0.925,
cand_258,O=C1CCC(N2C(=O)c3cc(O)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,1.0,
cand_259,CCc1cc2c(cc1F)C(=O)N(C1CCC(=O)NC1=O)C2,0.96,
