name,run_name,source_pool,role,decision,selection_axis,smiles,chemotype,has_glutarimide,haddock_mean_best10,haddock_best_model,sd_best_10,dock_rank_of_18,dock_z,structure_score_z,structure_rank_of_18,bsa_mean_best10,top_cluster_fraction,air_mean_best10,vdw_mean_best10,n_models,vina_crbn_affinity,vina_combined_affinity,vina_rank_of_18,degron_contact_overlap,p_crbn_glue,legacy_05_dockq,legacy_05_fnat,rule_a_upstream_crbn_pose,rule_b_structure_z_ge_0,rule_c_beats_Z6466608628,rules_passed,protocol_version,reason
RW_445,cand_445,ryan18_lock_v1,candidate,NO-BUY,both,O=C1CCC(N2C(=O)c3cc(Cl)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,"chloro phthalimide (di-oxo), phenylpiperazine arm",True,-125.144,-132.738,4.045,11,0.023,0.957,2,1792.2,0.769,165.2,-74.98,156,-9.111,-14.924,13,0.636,1.0,0.275,0.308,no,yes,no,1,ppil4_lock_v1,"HADDOCK -125.1 (below the noise floor but short of the Z6466608628 bar); dock #11 of 18. Structure axis z=+0.96 (#2): BSA 1792, 77% of models in one cluster, AIR 165. Vina #13 (-9.11 CRBN), pose hits 10/13 degron-pocket residues. Passes 1/3 rules -> NO-BUY."
RW_779,cand_779,ryan18_lock_v1,candidate,NO-BUY,structure,O=C1CCC(N2C(=O)c3cc(Br)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,"bromo phthalimide (di-oxo), phenylpiperazine arm",True,-124.444,-132.824,4.661,12,-0.123,0.138,7,1712.7,0.742,185.5,-77.81,163,-8.415,-14.055,15,0.281,0.995,0.354,0.480,no,yes,no,1,ppil4_lock_v1,"HADDOCK -124.4 (below the noise floor but short of the Z6466608628 bar); dock #12 of 18. Structure axis z=+0.14 (#7): BSA 1713, 74% of models in one cluster, AIR 186. Vina #15 (-8.41 CRBN), pose hits 11/13 degron-pocket residues. Passes 1/3 rules -> NO-BUY."
RW_381,cand_381,ryan18_lock_v1,candidate,ADD,ligand-pose-extreme,O=C1CCC(N2Cc3c(Cl)ccc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,"chloro isoindolinone (mono-oxo), phenylpiperazine arm",True,-123.876,-134.257,6.289,13,-0.241,0.001,9,1630.5,0.784,174.1,-79.65,162,-10.193,-16.117,1,0.719,0.985,0.468,0.512,yes,yes,no,2,ppil4_lock_v1,"EXTREME on the upstream ligand pose. Best Vina CRBN affinity of all 18 (-10.19) and best combined affinity (-16.12), with 0.72 degron overlap - it docks into the degron pocket better than anything else in the library. But dock only #13 and structure #12, so it tests directly whether a superior CRBN pose survives into the ternary score."
RW_1092,cand_1092,ryan18_lock_v1,candidate,NO-BUY,structure,O=C1CCC(N2Cc3cc(Cl)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,"chloro isoindolinone (mono-oxo), phenylpiperazine arm",True,-123.289,-131.596,4.387,14,-0.364,0.429,6,1742.1,0.866,193.8,-64.96,172,-9.927,-15.905,3,0.576,0.985,0.468,0.512,no,yes,no,1,ppil4_lock_v1,"HADDOCK -123.3 (below the noise floor but short of the Z6466608628 bar); dock #14 of 18. Structure axis z=+0.43 (#6): BSA 1742, 87% of models in one cluster, AIR 194. Vina #3 (-9.93 CRBN), pose hits 9/13 degron-pocket residues. Passes 1/3 rules -> NO-BUY."
RW_1078,cand_1078,ryan18_lock_v1,candidate,NO-BUY,neither,O=C1CCC(N2C(=O)c3cc(F)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,"fluoro phthalimide (di-oxo), phenylpiperazine arm",True,-122.632,-130.648,4.925,15,-0.5,-0.106,10,1673.3,0.681,181.2,-66.59,166,-8.343,-14.257,16,0.788,0.98,0.354,0.480,no,no,no,0,ppil4_lock_v1,"HADDOCK -122.6 (below the noise floor but short of the Z6466608628 bar); dock #15 of 18. Structure axis z=-0.11 (#10): BSA 1673, 68% of models in one cluster, AIR 181. Vina #16 (-8.34 CRBN), pose hits 11/13 degron-pocket residues. Passes 0/3 rules -> NO-BUY."
RW_80,cand_80,ryan18_lock_v1,candidate,ADD,legacy-structure-extreme,O=C1CCC(N2C(=O)c3cc(F)c(-c4ccc(N5CCNCC5)cc4)cc3C2=O)C(=O)N1,"fluoro phthalimide (di-oxo), phenylpiperazine arm",True,-119.991,-140.112,10.648,16,-1.051,-0.46,15,1646.2,0.824,183.1,-71.26,153,-8.196,-14.789,18,0.806,0.95,0.621,0.730,no,no,no,0,ppil4_lock_v1,"EXTREME on interface geometry, poor on docking - the clearest single-axis pick. Best legacy 05 interface geometry of all 18 (dockq 0.621, fnat 0.730, irmsd 1.77) and 82% top-cluster convergence, but dock #16/18 (-120.0), sd 10.6, and the worst Vina CRBN affinity of the 18 (-8.20). Directly tests whether geometry or score is the better signal."
RW_72,cand_72,ryan18_lock_v1,candidate,NO-BUY,neither,O=C1CCC(N2Cc3cccc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,"unsubstituted isoindolinone (mono-oxo), phenylpiperazine arm",True,-118.805,-126.82,6.095,17,-1.298,-0.706,17,1727.1,0.651,212.0,-72.88,146,-8.333,-14.79,17,0.781,0.98,0.483,0.533,no,no,no,0,ppil4_lock_v1,"HADDOCK -118.8 (below the noise floor but short of the Z6466608628 bar); dock #17 of 18. Structure axis z=-0.71 (#17): BSA 1727, 65% of models in one cluster, AIR 212. Vina #17 (-8.33 CRBN), pose hits 9/13 degron-pocket residues. Passes 0/3 rules -> NO-BUY."
RW_672,cand_672,ryan18_lock_v1,candidate,NO-BUY,neither,Cc1cc2c(cc1-c1ccc(N3CCNCC3)cc1)C(=O)N(C1CCC(=O)NC1=O)C2,"methyl isoindolinone (mono-oxo), phenylpiperazine arm",True,-112.108,-120.765,5.062,18,-2.693,-0.161,11,1535.0,0.72,162.5,-77.7,157,-9.163,-16.37,12,0.606,0.99,0.409,0.554,no,no,no,0,ppil4_lock_v1,"HADDOCK -112.1 (above the -112.202 noise floor -- not distinguishable from a degron-dead negative); dock #18 of 18. Structure axis z=-0.16 (#11): BSA 1535, 72% of models in one cluster, AIR 162. Vina #12 (-9.16 CRBN), pose hits 11/13 degron-pocket residues. Passes 0/3 rules -> NO-BUY."
TZ_6,tyrone_6,tyrone_crosscheck_lock_v1,crosscheck,NO-BUY,neither,CCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,"ethyl phthalimide (di-oxo), no PPIL4 arm",True,-108.564,-112.633,3.59,19,-3.431,-0.546,17,1582.8,0.533,174.4,-74.6,165,-9.667,-14.953,7,0.955,0.965,0.277,0.314,yes,no,no,1,ppil4_lock_v1,"Candidate 6 from Tyrone's guided screen, re-docked under ppil4_lock_v1. HADDOCK -108.6 (above the -112.202 noise floor -- not distinguishable from a degron-dead negative); dock #19 of 19. Structure axis z=-0.55 (#17): BSA 1583, 53% of models in one cluster, AIR 174. Vina #7 (-9.67 CRBN), pose hits 11/13 degron-pocket residues. Passes 1/3 rules -> NO-BUY. Same molecule as Ryan's cand_85 (identical SMILES), which was never docked in 08."
TZ_118,tyrone_118,tyrone_crosscheck_lock_v1,crosscheck,NO-BUY,neither,COc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,"cyano/methoxy phthalimide (di-oxo), no PPIL4 arm",True,-104.011,-111.448,3.301,19,-4.38,-1.212,19,1624.2,0.329,191.0,-67.17,161,-9.678,-14.999,7,0.833,0.955,0.277,0.314,yes,no,no,1,ppil4_lock_v1,"Candidate 118 from Tyrone's guided screen, re-docked under ppil4_lock_v1. HADDOCK -104.0 (above the -112.202 noise floor -- not distinguishable from a degron-dead negative); dock #19 of 19. Structure axis z=-1.21 (#19): BSA 1624, 33% of models in one cluster, AIR 191. Vina #7 (-9.68 CRBN), pose hits 11/13 degron-pocket residues. Passes 1/3 rules -> NO-BUY. Same molecule as Ryan's cand_1981 (identical SMILES), which was never docked in 08."
Z6466608628_positive_control,Z6466608628_positive_control,control,positive_control,CONTROL(+),calibration,O=C1CCC(N2Cc3c(cccc3-c3ccc(N4CCNCC4)cc3)C2=O)C(=O)N1,isoindolinone-phenylpiperazine,True,-125.61,-133.292,4.776,n/a,n/a,-0.031,n/a,1752.3,0.096,189.3,-77.46,166,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,ppil4_lock_v1,Confirmed CRBN-PPIL4 glue (Enamine Z6466608628). At -125.61 this is the RULE C BAR every candidate is measured against - the strongest control in the set.
TM-04-064-02_positive_control,TM-04-064-02_positive_control,control,positive_control,CONTROL(+),calibration,O=C(NCCCCCCCCNC1=CC=CC2=C1C(N(C2=O)C3CCC(NC3=O)=O)=O)CCN4C=NC5=C(N=CN=C54)N,adenine-linked thalidomide (C8 amide linker),True,-109.961,-126.259,6.629,n/a,n/a,0.059,n/a,1610.0,0.944,179.6,-82.95,160,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,ppil4_lock_v1,"Second positive control, structurally unrelated to the candidate series. Scores -110.0 - below every candidate - showing the score is size/interface driven and that a real degron-bearing binder can rank low. Its top cluster holds 94% of models (best convergence of any control)."
negctrl_no_glutarimide,negctrl_no_glutarimide,control,negative_control,CONTROL(-),calibration,CN1Cc2c(cccc2-c2ccc(N3CCNCC3)cc2)C1=O,"phenylpiperazine glue scaffold, degron removed",False,-112.202,-121.855,6.857,n/a,n/a,-0.729,n/a,1535.4,0.106,173.9,-74.47,151,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,ppil4_lock_v1,"'FPFT without glutarimide': keeps the PPIL4-facing arm, loses the CRBN degron -> cannot engage CRBN. CEILING CONTROL: at -112.20 it edges out FPFT-2216 (-111.38), so treat any candidate scoring above ~-112 as indistinguishable from noise."
negctrl_no_ppil4_arm,negctrl_no_ppil4_arm,control,negative_control,CONTROL(-),calibration,O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,"isoindolinone-glutarimide core, no PPIL4 arm",True,-105.097,-117.668,7.454,n/a,n/a,-1.22,n/a,1571.7,0.424,214.5,-66.27,158,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,ppil4_lock_v1,"'FPFT without PPIL4 arm': keeps the CRBN degron, loses the PPIL4-targeting arm. -105.10, and AIR 214 (vs ~180 for candidates) - it cannot satisfy the PPIL4-side restraints. Behaves as intended."
negctrl_no_crbn_ppil4_arm,negctrl_no_crbn_ppil4_arm,control,negative_control,CONTROL(-),calibration,COc1cscc1-c1c[nH]nn1,FPFT methoxythiophene-triazole core fragment,False,-92.187,-97.833,2.88,n/a,n/a,-1.202,n/a,1472.4,0.63,226.5,-57.97,146,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,ppil4_lock_v1,"'FPFT without CRBN and PPIL4 arm': both handles stripped. FLOOR CONTROL at -92.19, smallest interface (BSA 1472) and worst restraint satisfaction (AIR 227) of anything docked. The protocol's true negative."
